SYMBOL,TOKEN,EXCHANGE,MARKET CAP,TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME
DOLLAR,20560,NSE,Small Cap,2024-11-04 11:30:00,503.55,508.45,497.30,503.30,40253
DOLLAR,20560,NSE,Small Cap,2024-10-31 13:45:00,509.00,512.25,500.00,503.75,19604
DOLLAR,20560,NSE,Small Cap,2024-10-30 12:45:00,511.00,513.00,503.05,509.00,22978
DOLLAR,20560,NSE,Small Cap,2024-10-29 11:45:00,492.10,512.55,491.10,508.95,26121
DOLLAR,20560,NSE,Small Cap,2024-10-28 10:45:00,488.25,504.90,488.20,494.40,51570
DOLLAR,20560,NSE,Small Cap,2024-10-25 14:00:00,485.55,489.70,478.65,488.25,28411
DOLLAR,20560,NSE,Small Cap,2024-10-24 13:00:00,505.65,511.85,475.95,485.55,81629
DOLLAR,20560,NSE,Small Cap,2024-10-23 12:00:00,504.90,520.00,500.25,505.65,57778
DOLLAR,20560,NSE,Small Cap,2024-10-22 11:00:00,508.80,511.00,490.95,504.55,69796
DOLLAR,20560,NSE,Small Cap,2024-10-21 10:00:00,526.90,536.20,506.55,508.40,49798
DOLLAR,20560,NSE,Small Cap,2024-10-18 13:15:00,541.40,555.00,525.80,527.35,30477
DOLLAR,20560,NSE,Small Cap,2024-10-17 12:15:00,545.05,547.15,521.10,541.40,53400
DOLLAR,20560,NSE,Small Cap,2024-10-16 11:15:00,544.50,552.95,540.00,545.05,78624
DOLLAR,20560,NSE,Small Cap,2024-10-15 10:15:00,537.40,546.45,532.20,544.55,69821
DOLLAR,20560,NSE,Small Cap,2024-10-14 09:15:00,550.05,567.80,534.00,536.55,223531
DOLLAR,20560,NSE,Small Cap,2024-10-11 12:30:00,532.50,549.05,531.05,546.50,55669
DOLLAR,20560,NSE,Small Cap,2024-10-10 11:30:00,522.50,545.00,520.60,532.50,359425
DOLLAR,20560,NSE,Small Cap,2024-10-09 10:30:00,517.95,525.20,514.80,522.50,63681
DOLLAR,20560,NSE,Small Cap,2024-10-08 09:30:00,492.65,519.90,492.45,518.75,92537
DOLLAR,20560,NSE,Small Cap,2024-10-07 14:45:00,497.10,499.90,486.05,492.70,24534
DOLLAR,20560,NSE,Small Cap,2024-10-04 11:45:00,544.95,548.35,493.10,497.00,253909
DOLLAR,20560,NSE,Small Cap,2024-10-03 10:45:00,534.00,554.25,532.00,545.00,444685
DOLLAR,20560,NSE,Small Cap,2024-10-01 15:00:00,532.20,539.35,524.50,533.45,186230
DOLLAR,20560,NSE,Small Cap,2024-09-30 14:00:00,506.65,534.75,504.80,532.25,182573
DOLLAR,20560,NSE,Small Cap,2024-09-27 11:00:00,510.00,515.00,503.45,506.65,102477
DOLLAR,20560,NSE,Small Cap,2024-09-26 10:00:00,511.20,517.50,508.35,510.10,94999
DOLLAR,20560,NSE,Small Cap,2024-09-25 15:15:00,506.35,514.50,506.35,512.15,55906
DOLLAR,20560,NSE,Small Cap,2024-09-24 14:15:00,508.00,510.85,498.90,506.65,193765
DOLLAR,20560,NSE,Small Cap,2024-09-23 13:15:00,511.15,514.00,507.05,508.00,73457
DOLLAR,20560,NSE,Small Cap,2024-09-20 10:15:00,513.30,520.30,507.60,511.15,77669
DOLLAR,20560,NSE,Small Cap,2024-09-19 09:15:00,519.30,520.50,511.20,514.35,78898
DOLLAR,20560,NSE,Small Cap,2024-09-18 14:30:00,517.80,520.00,514.00,518.65,14742
DOLLAR,20560,NSE,Small Cap,2024-09-17 13:30:00,511.25,525.05,509.00,518.85,107351
DOLLAR,20560,NSE,Small Cap,2024-09-16 12:30:00,516.00,520.30,509.95,511.25,55533
DOLLAR,20560,NSE,Small Cap,2024-09-13 09:30:00,520.75,523.05,511.95,516.00,103899
DOLLAR,20560,NSE,Small Cap,2024-09-12 14:45:00,515.65,522.95,514.00,520.75,42734
DOLLAR,20560,NSE,Small Cap,2024-09-11 13:45:00,521.05,521.05,511.10,515.65,81645
DOLLAR,20560,NSE,Small Cap,2024-09-10 12:45:00,515.00,529.80,514.90,521.05,123616
DOLLAR,20560,NSE,Small Cap,2024-09-09 11:45:00,516.35,524.10,511.00,515.00,112382
DOLLAR,20560,NSE,Small Cap,2024-09-06 15:00:00,505.00,520.05,499.55,517.05,140941
DOLLAR,20560,NSE,Small Cap,2024-09-05 14:00:00,505.70,511.20,498.25,505.00,115416
DOLLAR,20560,NSE,Small Cap,2024-09-04 13:00:00,499.00,507.05,497.15,506.60,46997
DOLLAR,20560,NSE,Small Cap,2024-09-03 12:00:00,508.00,511.10,497.80,498.95,66343
DOLLAR,20560,NSE,Small Cap,2024-09-02 11:00:00,504.95,511.00,496.00,509.00,80421
